,identifier,titleEn,scopeEn
312,75.200,Petroleum products and natural gas handling equipment,"Including petroleum and natural gas storage devices, distribution systems, pipelines, petrol stations, dispensing devices, etc."
313,77.020,Production of metals,
314,77.040,Testing of metals,
315,77.060,Corrosion of metals,
316,77.080,Ferrous metals,"Including classification, designation, sampling, chemical analysis, etc."
317,77.100,Ferroalloys,"Including classification, designation, sampling, chemical analysis, etc."
318,77.120,Non-ferrous metals,"Including classification, designation, sampling, chemical analysis, etc."
319,77.140,Iron and steel products,
320,77.150,Products of non-ferrous metals,Including products of non-ferrous metal alloys
321,77.160,Powder metallurgy,Including sintered metal materials and hard metals
322,77.180,Equipment for the metallurgical industry,
323,79.020,Wood technology processes,Including logging and wood treatment
324,79.040,"Wood, sawlogs and sawn timber",
325,79.060,Wood-based panels,
326,79.080,Semi-manufactures of timber,"Including parquet, wood paving, handles, etc."
327,79.100,Cork and cork products,
328,79.120,Woodworking equipment,
329,81.020,Processes in the glass and ceramics industries,
330,81.040,Glass,
331,81.060,Ceramics,Including glass-ceramics
332,81.080,Refractories,Including ceramic refractories
333,81.100,Equipment for the glass and ceramics industries,
334,83.020,Manufacturing processes in the rubber and plastics industries,
335,83.040,Raw materials for rubber and plastics,
336,83.060,Rubber,
337,83.080,Plastics,
338,83.100,Cellular materials,
339,83.120,Reinforced plastics,
340,83.140,Rubber and plastics products,
341,83.160,Tyres,Including tubes and valves
342,83.180,Adhesives,Including adhesive tapes
343,83.200,Equipment for the rubber and plastics industries,
344,85.020,Paper production processes,Including paper recycling
345,85.040,Pulps,
346,85.060,Paper and board,
347,85.080,Paper products,Including paper based stationery
348,85.100,Equipment for the paper industry,
349,87.020,Paint coating processes,
350,87.040,Paints and varnishes,"Including coating powders, paint coatings and protective paint systems"
351,87.060,Paint ingredients,
352,87.080,Inks. Printing inks,
353,87.100,Paint coating equipment,
354,91.010,Construction industry,
355,91.020,Physical planning. Town planning,
356,91.040,Buildings,
357,91.060,Elements of buildings,
358,91.080,Structures of buildings,"Including design, loading on and calculation of structures"
359,91.090,External structures,"Including fences, gates, arches, sheds, garages, etc."
360,91.100,Construction materials,Including sustainability of construction materials
361,91.120,Protection of and in buildings,
362,91.140,Installations in buildings,
363,91.160,Lighting,Including oil and gas lamps
364,91.180,Interior finishing,
365,91.190,Building accessories,"Including locks, buzzers, bells, bolts, door and window hardware, etc."
366,91.200,Construction technology,"Including measuring methods, construction sites, demolition of structures, etc."
367,91.220,Construction equipment,"Including scaffolding, mixers for concrete and mortar, etc."
368,93.010,Civil engineering in general,
369,93.020,Earthworks. Excavations. Foundation construction. Underground works,Including geotechnics
370,93.025,External water conveyance systems,Including buried and above ground installations
371,93.030,External sewage systems,
372,93.040,Bridge construction,
373,93.060,Tunnel construction,
374,93.080,Road engineering,
375,93.100,Construction of railways,"Including the construction of tramways, funicular railways, cableways, rail traffic control equipment and installations, etc."
376,93.110,Construction of ropeways,
377,93.120,Construction of airports,Including air transport control equipment and installations
378,93.140,"Construction of waterways, ports and dykes","Including river embankments, water transport control equipment and installations, etc."
379,93.160,Hydraulic construction,
380,95.020,Military in general,"Including defense procurement, defense standardization, etc."
381,95.040,Military engineering,
382,95.060,Weapons,
383,97.020,Home economics in general,Including consumer information
384,97.030,Domestic electrical appliances in general,Including water-bed heaters and electric blankets
385,97.040,Kitchen equipment,
386,97.060,Laundry appliances,"Including washing-machines, dry-cleaners, driers, ironing and pressing appliances, etc."
387,97.080,Cleaning appliances,"Including vacuum cleaners, floor-cleaning machines, floor polishers, steam cleaners, pressure cleaners, hand operated cleaners, etc."
388,97.100,"Domestic, commercial and industrial heating appliances",Including thermal storage room heating appliances
389,97.120,Automatic controls for household use,
390,97.130,Shop fittings,
391,97.140,Furniture,"Including upholstery, mattresses, office furniture, school furniture, etc."
392,97.145,Ladders,
393,97.150,Floor coverings,
394,97.160,Home textiles. Linen,"Including duvets, blankets, bedding"
395,97.170,Body care equipment,"Including hair-driers, razors, shavers, toothbrushes, massage appliances, radiation skin treatment appliances, etc."
396,97.180,Miscellaneous domestic and commercial equipment,"Including scissors, aquarium equipment, articles for domestic animals, battery chargers, mops, insect electrocutors, lighters, matches, paper clips, pens, pencils, etc."
397,97.190,Equipment for children,Including child safety requirements for other household equipment
398,97.195,Items of art and handicrafts. Cultural property and heritage,Including conservation of collections and equipment and materials for creating items of art and handicrafts
399,97.200,Equipment for entertainment,
400,97.220,Sports equipment and facilities,
401,01.040.01,Generalities. Terminology. Standardization. Documentation (Vocabularies),
402,01.040.03,"Services. Company organization, management and quality. Administration. Transport. Sociology. (Vocabularies)",
403,01.040.07,Natural and applied sciences (Vocabularies),
404,01.040.11,Health care technology (Vocabularies),
405,01.040.13,Environment. Health protection. Safety (Vocabularies),
406,01.040.17,Metrology and measurement. Physical phenomena (Vocabularies),
407,01.040.19,Testing (Vocabularies),
408,01.040.21,Mechanical systems and components for general use (Vocabularies),
409,01.040.23,Fluid systems and components for general use (Vocabularies),
410,01.040.25,Manufacturing engineering (Vocabularies),
